datetime,AAPL_buy_hold,S12_full,L1+L4
2026-02-23,55334.15691414614,52300.48197719683,55997.027199083605
2026-02-24,56567.56553119347,52300.48197719683,55997.027199083605
2026-02-25,57002.671163113315,52300.48197719683,55997.027199083605
2026-02-26,56737.68969627052,52300.48197719683,55997.027199083605
2026-02-27,54913.761921905534,52300.48197719683,55997.027199083605
2026-03-02,55029.24507894741,52300.48197719683,55997.027199083605
2026-03-03,54827.87280232415,52300.48197719683,55997.027199083605
2026-03-04,54573.685478215004,52300.48197719683,55997.027199083605
2026-03-05,54109.417225184654,52300.48197719683,55997.027199083605
2026-03-06,53519.54626268407,51709.410834253526,55838.81533555614
2026-03-09,54028.636406186226,52201.28255627475,55971.603225669416
2026-03-10,54231.86226905895,52397.63492413403,56071.273180330005
2026-03-11,54227.760289751735,52393.67168176666,56069.15262616967
2026-03-12,53172.75002086534,52372.71421309396,56057.93879564443
2026-03-13,51998.96987013617,52372.71421309396,56057.93879564443
2026-03-16,52559.126331669584,52372.71421309396,56057.93879564443
2026-03-17,52852.10496719843,52372.71421309396,56057.93879564443
2026-03-18,51956.71327377551,52372.71421309396,56057.93879564443
2026-03-19,51752.79654834075,52372.71421309396,56057.93879564443
2026-03-20,51551.163221937226,52372.71421309396,56057.93879564443
2026-03-23,52290.86830373916,52372.71421309396,56057.93879564443
2026-03-24,52323.27719986925,52372.71421309396,56057.93879564443
2026-03-25,52530.0264828914,52372.71421309396,56057.93879564443
2026-03-26,52586.4898603632,52372.71421309396,56057.93879564443
2026-03-27,51740.22350076734,52372.71421309396,56057.93879564443
2026-03-30,51292.586070905934,52372.71421309396,56057.93879564443
2026-03-31,52775.36209444925,52372.71421309396,56057.93879564443
2026-04-01,53157.62266890185,52372.71421309396,56057.93879564443
2026-04-02,53219.93968925679,52372.71421309396,56057.93879564443
2026-04-06,53830.19972708629,52372.71421309396,56057.93879564443
2026-04-07,52709.7570411382,52372.71421309396,56057.93879564443
2026-04-08,53830.77436227034,52372.71421309396,56057.93879564443
2026-04-09,54161.24827962004,52372.71421309396,56057.93879564443
2026-04-10,54159.37540943686,52372.71421309396,56057.93879564443
2026-04-13,53892.920514457175,52372.71421309396,56057.93879564443
2026-04-14,53816.00052354615,52372.71421309396,56057.93879564443
2026-04-15,55400.65977679029,52372.71421309396,56057.93879564443
2026-04-16,54771.58877608965,51757.07625777828,55893.19941112952
2026-04-17,56182.76003596001,53090.5796331958,56253.216704737875
2026-04-20,56768.844700259346,53644.40743592145,56541.00120849295
2026-04-21,55332.13064624495,52286.76708777973,55825.527329350254
2026-04-22,56780.45815744943,53655.38171296609,56556.14845413143
2026-04-23,56836.7973476563,53708.6201131841,56584.2067659919
2026-04-24,56343.284877892205,53242.269527004006,56338.5471499168
2026-04-27,55632.0566142943,52570.185764266884,55616.11098181596
2026-04-28,56282.389310992585,53184.725523439134,56266.257275803255
2026-04-29,56176.556157752064,53084.717203336106,56160.45445716958
2026-04-30,56421.70062970246,53316.36944152075,56405.5286641704
2026-05-01,58242.23018943537,55036.700900917254,58225.53641153392
2026-05-04,57553.05323221249,54385.454787244904,57536.55699082399
2026-05-05,59080.58213318824,55828.911725055616,59063.64806124058
2026-05-06,59782.20028483307,56491.91429609617,59765.06511039401
2026-05-07,59769.95799585681,56480.345796838206,59752.82633038458
2026-05-08,60986.54262246204,57629.97217613972,60969.06225136008
2026-05-11,60910.07055148885,57557.70896637362,60892.61209932381
2026-05-12,61351.45710397706,57974.80253562687,61333.87213864361
2026-05-13,62203.42501770998,58779.87993552704,62185.59585562986
2026-05-14,62067.12108092889,58651.077879427205,62049.33098719557
2026-05-15,62488.05696745722,59048.84634416438,62470.146222262265
2026-05-18,61990.63038993522,58578.79707444719,61972.862220475785
2026-05-19,62227.042315713734,58802.197387350076,62209.20638428556
2026-05-20,62911.97936594456,59449.436949552626,62893.94711327394
2026-05-21,63485.529377734485,59991.41998055828,63467.33273032003
2026-05-22,64280.69618548513,60742.8224873333,64262.27162203724
2026-05-26,64179.31068435205,60647.017029963245,64160.91518069518
2026-05-27,64703.85621501786,61142.692682943365,64685.31036260958
2026-05-28,65049.596711113154,61469.4043526552,65030.95176024943
2026-05-29,64956.062215203834,61381.017797769935,64937.44407382347
2026-06-01,63753.761922271966,60244.88957259804,63735.48839224999
2026-06-02,65598.05759799345,61987.67911117498,65579.25544359883
2026-06-03,64567.31712942979,61013.66842013005,64548.810412768245
2026-06-04,64773.127772653825,61208.15168041223,64754.56206516798
2026-06-05,63969.5239513701,60448.77651550226,63951.18857819099
2026-06-08,62769.11415561576,59314.434738537704,62751.12285192808
2026-06-09,60472.912653212654,57144.61131513934,60455.579502170796
2026-06-10,60687.17468143111,57347.080814042936,60669.78011717242
2026-06-11,61527.21738459791,58140.88934176953,61509.58204167622
2026-06-12,60592.04466288321,57257.18655071389,60574.677365427255
2026-06-15,61688.172448606696,58292.98577914026,61670.4909716671
2026-06-16,62278.330297232445,58850.662586733306,62260.47966529965
2026-06-17,61599.07202479372,58208.78925439199,61581.41608641407
2026-06-18,62027.99094290286,58614.10138151929,62010.21206491164
2026-06-22,61819.70330042202,58417.27745078569,61801.984123229195
2026-06-23,61256.84021249021,57885.3931579296,61239.28236688356
2026-06-24,61004.607162088185,57862.23900066643,61214.78665393681
2026-06-25,57222.085309010115,57862.23900066643,61214.78665393681
2026-06-26,59017.83641626628,57862.23900066643,61214.78665393681
2026-06-29,58604.25217754206,57862.23900066643,61214.78665393681
2026-06-30,60192.72772792702,57862.23900066643,61214.78665393681
2026-07-01,61234.274494165664,57862.23900066643,61214.78665393681
2026-07-02,64201.09922090017,57862.23900066643,61214.78665393681
2026-07-06,65043.97366460305,57862.23900066643,61214.78665393681
2026-07-07,64635.93983307312,57862.23900066643,61214.78665393681
2026-07-08,65202.71203540163,57862.23900066643,61214.78665393681
2026-07-09,65802.52685699196,57862.23900066643,61214.78665393681
