window,strategy,month,pnl_usd
secondary_2020_to_now,S12_full,2022-12,-2223.046372537581
secondary_2020_to_now,S12_full,2023-01,981.6602840320484
secondary_2020_to_now,S12_full,2023-02,-179.95437139737624
secondary_2020_to_now,S12_full,2023-03,814.4537021448123
secondary_2020_to_now,S12_full,2023-04,272.6634178082968
secondary_2020_to_now,S12_full,2023-05,4136.256122943065
secondary_2020_to_now,S12_full,2023-06,3579.7616885977477
secondary_2020_to_now,S12_full,2023-07,2332.8539881416
secondary_2020_to_now,S12_full,2023-08,-2838.1122857390146
secondary_2020_to_now,S12_full,2023-09,-2327.3401865315245
secondary_2020_to_now,S12_full,2023-10,-897.4967336848276
secondary_2020_to_now,S12_full,2023-11,2845.8947263658265
secondary_2020_to_now,S12_full,2023-12,3327.32382799653
secondary_2020_to_now,S12_full,2024-01,1127.8868990779447
secondary_2020_to_now,S12_full,2024-02,3360.2427450558753
secondary_2020_to_now,S12_full,2024-03,857.1524590847257
secondary_2020_to_now,S12_full,2024-04,-1974.1665180037962
secondary_2020_to_now,S12_full,2024-05,694.0814388252766
secondary_2020_to_now,S12_full,2024-06,4320.32235901586
secondary_2020_to_now,S12_full,2024-07,-2311.837097954005
secondary_2020_to_now,S12_full,2024-08,796.089204395932
secondary_2020_to_now,S12_full,2024-09,-1096.3824674934585
secondary_2020_to_now,S12_full,2024-10,-595.5372294519038
secondary_2020_to_now,S12_full,2024-11,3613.104677161289
secondary_2020_to_now,S12_full,2024-12,320.9097252295469
secondary_2020_to_now,S12_full,2025-01,-769.467974967265
secondary_2020_to_now,S12_full,2025-02,-1878.9620639507339
secondary_2020_to_now,S12_full,2025-03,-1524.5717018569994
secondary_2020_to_now,S12_full,2025-04,0.0
secondary_2020_to_now,S12_full,2025-05,2687.9940041617374
secondary_2020_to_now,S12_full,2025-06,4494.185995850465
secondary_2020_to_now,S12_full,2025-07,1831.7512330001773
secondary_2020_to_now,S12_full,2025-08,712.6093996275886
secondary_2020_to_now,S12_full,2025-09,4179.433910711348
secondary_2020_to_now,S12_full,2025-10,3912.6744275238307
secondary_2020_to_now,S12_full,2025-11,-4000.682391814713
secondary_2020_to_now,S12_full,2025-12,-1633.9177822988422
secondary_2020_to_now,S12_full,2026-01,994.9843270586862
secondary_2020_to_now,S12_full,2026-02,-1008.4100986268313
secondary_2020_to_now,S12_full,2026-03,0.0
secondary_2020_to_now,S12_full,2026-04,4926.980330049235
