scheme,scheme_id,note,run,universe,months,eval_days,win_start,win_end,n_names,bench_ret,s12_mean_ret,dip_mean_ret,dip_minus_s12,s12_mean_mdd,dip_mean_mdd,s12_mean_exposure,dip_mean_exposure,dip_beat_s12,s12_vs_bench,dip_vs_bench,s12_positive,dip_positive
D01_baseline,1,baseline_dip10_w25,57,QQQ,11,231,2024-12-30,2025-12-01,30,0.2014930365864087,0.06266015330288494,0.08431013659861276,0.02164998329572783,-0.1598500025072416,-0.1639310939916702,0.2909090909090909,0.38585858585858585,1,-0.13883288328352378,-0.11718289998779595,1,1
D01_baseline,1,baseline_dip10_w25,58,QQQ,4,84,2025-05-06,2025-09-04,30,0.19622773691571815,0.02277270503400945,0.03134932908833755,0.008576624054328099,-0.07513828177160067,-0.08299698136893913,0.29166666666666663,0.39097222222222217,1,-0.17345503188170872,-0.1648784078273806,1,1
D01_baseline,1,baseline_dip10_w25,59,SOXX,4,84,2026-02-25,2026-06-25,30,0.7007669266812115,0.09044155816110022,0.19928393110155254,0.10884237294045232,-0.07194405578107436,-0.09656870328219193,0.1384920634920635,0.3005952380952381,1,-0.6103253685201113,-0.501482995579659,1,1
D01_baseline,1,baseline_dip10_w25,60,SOXX,1,21,2024-12-26,2025-01-28,29,-0.04487098139039003,-0.03273396754475295,-0.03281712885132092,-8.316130656797066e-05,-0.06564789337488112,-0.07986634009453146,0.27586206896551724,0.3866995073891626,0,0.012137013845637083,0.012053852539069113,0,0
D01_baseline,1,baseline_dip10_w25,61,SOXX,3,63,2024-01-26,2024-04-25,29,0.06710111015930864,0.02188533088741311,0.02266964641553545,0.0007843155281223417,-0.05970782911130342,-0.08081224002797456,0.22167487684729062,0.3654898741105637,1,-0.04521577927189553,-0.044431463743773186,1,1
D01_baseline,1,baseline_dip10_w25,62,SOXX,3,63,2025-06-20,2025-09-18,29,0.19111850646885342,0.09125785621270052,0.11683317572740469,0.025575319514704167,-0.11324479512224543,-0.11590890220188911,0.48056923918992883,0.5689655172413793,1,-0.0998606502561529,-0.07428533074144873,1,1
D01_baseline,1,baseline_dip10_w25,63,QQQ,3,63,2025-10-01,2025-12-30,30,0.0281443024583361,-0.007672257166568985,-0.005265403052104016,0.0024068541144649696,-0.057252876515231955,-0.06444691162860608,0.25661375661375657,0.3314814814814815,1,-0.035816559624905084,-0.03340970551044012,0,0
D01_baseline,1,baseline_dip10_w25,64,QQQ,2,42,2024-06-12,2024-08-12,30,-0.046509750935051275,-0.030689981486153213,-0.02580432055172097,0.004885660934432243,-0.07187451483260328,-0.08084021258728431,0.3507936507936508,0.4537698412698413,1,0.015819769448898062,0.020705430383330305,0,0
D01_baseline,1,baseline_dip10_w25,65,SOXX,7,147,2024-03-27,2024-10-24,29,0.010917916153216245,-0.017449618185238974,-0.01599115334447567,0.0014584648407633023,-0.1614083097554402,-0.17534238266540092,0.2629603565564157,0.3634177809054656,1,-0.02836753433845522,-0.026909069497691916,0,0
D01_baseline,1,baseline_dip10_w25,66,QQQ,7,147,2024-06-18,2025-01-17,30,0.0802486743430566,0.00029853127965911254,0.022816277952172035,0.022517746672512922,-0.13011363603454423,-0.1279691435672089,0.35124716553287977,0.4348639455782312,1,-0.0799501430633975,-0.05743239639088457,1,1
