datetime,MU_buy_hold,S12_full,L1+L4
2025-09-03,67191.09472321621,53072.21243766638,57506.69990377315
2025-09-04,70294.90693005206,55523.81977471573,60163.15308215103
2025-09-05,74290.23528140054,58679.608735953356,63582.62629455349
2025-09-08,74344.37337373965,58722.37077680754,63628.961348958146
2025-09-09,76477.58922649079,60407.33342519088,65454.712281867774
2025-09-10,79169.72910731127,62533.77324962568,67758.82833866168
2025-09-11,85062.82074451291,67188.54800173482,72802.53619432331
2025-09-12,88784.95378166111,70128.54825150795,75988.19031189557
2025-09-15,89090.6798010275,70370.03198256447,76249.85139244352
2025-09-16,89682.96617012745,70837.86106221103,76756.77027247121
2025-09-17,90356.70182964952,71370.02447160747,77333.39898415105
2025-09-18,95321.77856926026,75291.78833896843,81582.84869530961
2025-09-19,91844.62925602967,72545.29331921255,78606.8682785555
2025-09-22,92909.98740913691,73386.78748531922,79518.67410421063
2025-09-23,93917.61536774946,74182.6823177804,80381.07051059874
2025-09-24,91249.7357384251,72075.40493185767,78097.71802386013
2025-09-25,88487.36870364685,69893.49480367066,75733.49680157691
2025-09-26,88743.14987365447,70095.52860961056,75952.41168970692
2025-09-29,92446.71625363754,73020.86361873856,79122.17520174268
2025-09-30,94373.43691499533,74542.72196423578,80771.19353263194
2025-10-01,102834.93851018122,81226.20601894926,88013.12097813794
2025-10-02,103748.6283246793,81947.90195405684,88386.51723693358
2025-10-03,106106.0992575469,83809.99690399288,89390.71675555946
2025-10-06,107958.48541015635,85273.14067048237,90933.40984278303
2025-10-07,105082.5081333488,83001.49325010048,88510.97477974105
2025-10-08,111147.9350093773,87792.39039228513,91047.72648386435
2025-10-09,108760.39438923061,85906.54430631266,90069.83991613866
2025-10-10,102713.67816382778,81130.42614085015,87566.0481383558
2025-10-13,108977.5239821439,86078.04840114943,90236.0928405962
2025-10-14,105751.27897828657,86043.61718178898,90218.0456220281
2025-10-15,108518.70992917674,86043.61718178898,90218.0456220281
2025-10-16,114447.77934475437,86043.61718178898,90218.0456220281
2025-10-17,114391.5834049235,86043.61718178898,90218.0456220281
2025-10-20,116929.68071533958,86043.61718178898,90218.0456220281
2025-10-21,114382.4571788147,86043.61718178898,90218.0456220281
2025-10-22,112222.07752337551,86043.61718178898,90218.0456220281
2025-10-23,116932.20212968913,86043.61718178898,90218.0456220281
2025-10-24,123795.4535641284,91059.46790990788,91532.84462933459
2025-10-27,124474.45474303383,91023.04412274393,91523.69134487167
2025-10-28,125507.08782567881,91023.04412274393,91523.69134487167
2025-10-29,128219.50284152995,91023.04412274393,91523.69134487167
2025-10-30,126734.41191326691,89932.3686344118,91249.52273264389
2025-10-31,126635.61847741771,89862.26354174342,91231.73976877822
2025-11-03,132801.04553982933,94237.32987924964,93443.48716851603
2025-11-04,123237.120845598,87450.64591387173,90078.73024656085
2025-11-05,134015.76714438267,87415.66565550619,90060.71450051153
