datetime,SMH_buy_hold,S12_full,L1+L4
2025-11-12,72796.81391658868,71443.62103620743,66943.01310839514
2025-11-13,70588.41853323807,69276.27669271747,65927.60712328188
2025-11-14,70678.15317674802,69364.34329233663,65969.51194595393
2025-11-17,69716.3367866953,68420.40574918986,65520.642281273234
2025-11-18,68273.39459013563,67004.28586808787,64842.59102491846
2025-11-19,69528.89611266914,68236.4493400915,66022.03387347692
2025-11-20,66722.98736807951,65482.69858885207,63357.648092333664
2025-11-21,66934.45832862539,65456.505509416544,63332.305033096745
2025-11-24,69582.38287860886,65456.505509416544,63332.305033096745
2025-11-25,69779.2120310138,65456.505509416544,63332.305033096745
2025-11-26,71350.70772369854,65456.505509416544,63332.305033096745
2025-11-28,72285.81610391322,65456.505509416544,63332.305033096745
2025-12-01,72433.63939995071,65456.505509416544,63332.305033096745
2025-12-02,73755.42928002257,65456.505509416544,63332.305033096745
2025-12-03,74768.40460369407,65456.505509416544,63332.305033096745
2025-12-04,74198.96095092483,65456.505509416544,63332.305033096745
2025-12-05,74777.68424504004,65456.505509416544,63332.305033096745
2025-12-08,75624.21578648438,66171.33270266013,63505.21242211838
2025-12-09,75718.20847299788,66253.57648219846,63524.944942519054
2025-12-10,76764.98377008298,67169.50685883747,63957.696492187664
2025-12-11,76108.95569460992,66595.48104458007,63684.40753620268
2025-12-12,72639.57918389622,63559.76999655541,62232.90169442389
2025-12-15,72401.33634764625,63351.3070615343,62130.84615408128
2025-12-16,72204.6670265004,63179.2210313308,62046.46075491773
2025-12-17,69606.64863884787,60905.9499989096,59801.53862712308
2025-12-18,71274.53124673087,62365.35045427183,61234.47568344266
2025-12-19,73107.10094216233,63968.85242458753,62009.44157308496
2025-12-22,74060.14111427592,64802.764388527525,62805.40833990597
2025-12-23,74775.41324417279,65428.62886312885,63411.98236901847
2025-12-24,74983.76025914683,65610.93289765104,63588.66741383433
2025-12-26,75331.95528386786,65915.60420678936,63883.94811922463
2025-12-29,74995.0313480076,65620.7951218496,63598.22566376049
2025-12-30,74810.70330034038,65459.50772942154,63441.90948439519
2025-12-31,74159.92962516956,64890.0795254261,62890.03224258846
2026-01-02,76850.55012584053,67244.3775829316,65171.7659348267
2026-01-05,77752.48051358714,68033.56838830438,65936.63223732523
2026-01-06,79804.31478623812,69828.92728087981,67676.65443281112
2026-01-07,79268.78523375129,69360.33790350678,67222.50795515151
2026-01-08,78023.88674967126,68271.04936128011,66166.79355253199
2026-01-09,80119.74801014515,70104.93195197031,67944.15206559155
2026-01-12,80425.62297296384,70372.57312642208,68203.54398210355
2026-01-13,80605.35512211376,70529.83909890294,68355.96269005274
2026-01-14,79949.85155392556,69956.27222951778,67800.07434513584
2026-01-15,81639.59433498656,71434.80037800389,69233.03117936858
2026-01-16,82467.36611676434,72159.10226205307,69935.00857212816
2026-01-20,80397.19850646665,70347.7016641541,68179.43911005848
2026-01-21,82757.41821140188,72412.89839674032,70180.98218181176
2026-01-22,82957.57081042901,72588.03230171753,70350.71809539577
2026-01-23,82394.85767604677,72095.65723846406,69873.51905619095
2026-01-26,82133.68203252117,71867.1280534427,69652.03361620572
2026-01-27,83861.09212180701,73378.6151682948,71116.93355287568
2026-01-28,85787.45257070899,75064.18422635198,72750.54986500839
2026-01-29,85970.67546835722,75224.50461041069,72905.92884121457
2026-01-30,83051.18034252657,72669.94082041286,70430.10202309882
2026-02-02,84001.18132114309,73501.19348426025,71235.7337500659
2026-02-03,81902.92837039032,71665.21816002537,69456.34700586434
2026-02-04,78657.85224081861,68825.7703722742,66704.41690763035
2026-02-05,78465.26973472493,68657.2603130173,66541.10067905778
2026-02-06,82649.2985813325,72318.29351471139,70089.29321911331
2026-02-09,83689.11044415324,73228.13087311981,70516.17249932565
2026-02-10,83302.78741528088,72890.09748780329,70353.41523497042
2026-02-11,85360.73514481966,74690.80566678758,71222.43568218748
2026-02-12,83597.80827619266,73148.24130243453,70486.96904579917
2026-02-13,83929.67272114403,73438.62332320232,70626.87773085346
2026-02-17,83898.73828393166,73411.55563178283,70613.8620556826
2026-02-18,84934.19327370245,74317.58071798278,71049.61041917466
2026-02-19,84453.27153579427,73896.77328226782,70848.45879340729
2026-02-20,85457.13860273024,74775.15887588529,71676.44042666542
2026-02-23,85013.94054867826,74387.35973532102,71304.7118684914
2026-02-24,86302.86671146385,75515.17258018613,72385.78760811743
2026-02-25,87739.57241772862,76772.29280677429,73590.81216954651
2026-02-26,84812.4303037459,74211.03788759356,71135.69688270536
2026-02-27,83665.32194709436,73207.31589293115,70640.40610644127
2026-03-02,83712.64542063966,73248.72402232522,70660.38421273316
2026-03-03,80552.42817869117,70483.52792270458,67978.76787004601
2026-03-04,82200.8588263717,71925.90787587858,68660.73329868716
2026-03-05,81427.36551624734,71249.09975780129,68337.69155293761
2026-03-06,78356.68448482029,68562.24801274663,65746.9634422664
2026-03-09,81249.0877943359,71093.10641192143,66947.28253603395
2026-03-10,81859.5568535704,71627.26800028536,67436.90481415113
2026-03-11,82620.44064489988,71598.61709308525,67409.93005222548
2026-03-12,79941.50619479701,71598.61709308525,67409.93005222548
2026-03-13,79787.70647201601,71598.61709308525,67409.93005222548
2026-03-16,81150.18062743352,71598.61709308525,67409.93005222548
2026-03-17,81760.42939970069,71598.61709308525,67409.93005222548
2026-03-18,81099.28226301742,71598.61709308525,67409.93005222548
2026-03-19,81413.4431066625,71598.61709308525,67409.93005222548
2026-03-20,79310.84356757034,71598.61709308525,67409.93005222548
2026-03-23,80684.53335202971,71598.61709308525,67409.93005222548
2026-03-24,81362.0532577107,71598.61709308525,67409.93005222548
2026-03-25,82274.20284524231,71598.61709308525,67409.93005222548
2026-03-26,78484.27032445197,71598.61709308525,67409.93005222548
2026-03-27,77120.30097679359,71598.61709308525,67409.93005222548
2026-03-30,74732.95452792116,71598.61709308525,67409.93005222548
2026-03-31,78984.25931684543,71598.61709308525,67409.93005222548
2026-04-01,80740.20010627861,71598.61709308525,67409.93005222548
2026-04-02,80920.21443241547,71598.61709308525,67409.93005222548
2026-04-06,81673.45902778016,71598.61709308525,67409.93005222548
2026-04-07,82485.42541300922,71598.61709308525,67409.93005222548
2026-04-08,87236.37377818738,71598.61709308525,67409.93005222548
2026-04-09,88759.84729798001,71598.61709308525,67409.93005222548
2026-04-10,90110.26330181747,71598.61709308525,67409.93005222548
2026-04-13,91451.37269786235,71598.61709308525,67409.93005222548
2026-04-14,93229.15993939326,71598.61709308525,67409.93005222548
2026-04-15,93436.78747192567,71598.61709308525,67409.93005222548
2026-04-16,93812.28480084651,71598.61709308525,67409.93005222548
2026-04-17,95738.14019248102,73039.81267963427,67749.15061829638
2026-04-20,95697.0303625305,73010.59675456242,67742.37570323456
2026-04-21,95843.09585190633,73092.83096388952,67761.45081339501
2026-04-22,98337.16455015719,74994.88285561115,68202.27994125124
2026-04-23,99370.22637011921,75782.72690750203,68553.70255950946
2026-04-24,104390.8075088349,79611.5732657172,70285.50613202751
2026-04-27,104356.9679842894,79585.76622530894,70274.11418973534
2026-04-28,101277.70250902593,77237.42564974837,69237.32355750007
2026-04-29,102996.53214655831,78548.25688944457,69824.85250417738
2026-04-30,104464.35015631927,79667.65910323562,70805.97128939656
2026-05-01,105109.19844239233,80159.43982413514,71243.04967222651
2026-05-04,104490.56129740049,79687.64850870495,70823.73720954139
2026-05-05,107743.72008400821,82168.6053598445,73028.72931737253
2026-05-06,113254.43894294753,86371.24550273339,76763.89639328042
2026-05-07,111255.8643138174,84847.07230864701,75409.26184476554
2026-05-08,116638.1354194749,88951.75432701093,79057.36699076669
2026-05-11,118641.44252980813,90479.53665376923,80415.20921661542
2026-05-12,115525.65148955894,88103.34058247753,78303.3250129659
2026-05-13,117830.57483177468,89861.14453006304,79068.80325204386
2026-05-14,119045.2488295745,90787.49149755458,79476.3495085419
2026-05-15,114490.48314112997,87313.8900285451,77955.93540825906
2026-05-18,112459.76998223319,87278.96447253367,77940.34422117741
2026-05-19,112045.73389667014,87278.96447253367,77940.34422117741
2026-05-20,116270.53013540499,87278.96447253367,77940.34422117741
2026-05-21,116942.73963322914,87278.96447253367,77940.34422117741
2026-05-22,118676.08024003857,87278.96447253367,77940.34422117741
2026-05-26,123936.85551214601,91113.02982922159,78796.30182640537
2026-05-27,122624.34950191565,91076.58461728989,78788.42219622273
2026-05-28,123515.5485747531,91702.07282825497,78923.69634339063
2026-05-29,123345.17499406783,91575.58178575632,78896.48010846697
2026-06-01,125185.39508201028,92941.82270418113,79477.12944291138
2026-06-02,130161.43799586788,92904.64597509945,79461.2340170228
2026-06-03,131340.91759238194,92904.64597509945,79461.2340170228
2026-06-04,129327.30097480945,92904.64597509945,79461.2340170228
2026-06-05,117136.52416271776,84110.0153119639,77580.72471126643
2026-06-08,122981.36220375178,84076.37130583911,77572.96663879532
2026-06-09,121581.86390656118,84076.37130583911,77572.96663879532
2026-06-10,117411.14528628651,84076.37130583911,77572.96663879532
2026-06-11,125226.29190044619,84076.37130583911,77572.96663879532
2026-06-12,127391.91710225864,84076.37130583911,77572.96663879532
2026-06-15,132941.6851402081,84076.37130583911,77572.96663879532
2026-06-16,126520.98326428092,84076.37130583911,77572.96663879532
2026-06-17,128211.6701085158,84076.37130583911,77572.96663879532
2026-06-18,135502.13384752168,84076.37130583911,77572.96663879532
2026-06-22,137360.99837704978,84076.37130583911,77572.96663879532
2026-06-23,127683.56666567478,84076.37130583911,77572.96663879532
2026-06-24,127041.34884412268,84076.37130583911,77572.96663879532
2026-06-25,130848.09371876832,84076.37130583911,77572.96663879532
2026-06-26,125621.66041426925,84076.37130583911,77572.96663879532
2026-06-29,129786.19699230023,84076.37130583911,77572.96663879532
2026-06-30,134670.29429589483,84076.37130583911,77572.96663879532
2026-07-01,127298.80752252911,84076.37130583911,77572.96663879532
