,cash
2026-06-04,13765.665030399963
2026-06-05,13765.665030399963
2026-06-08,13765.665030399963
2026-06-09,13765.665030399963
2026-06-10,13765.665030399963
2026-06-11,13765.665030399963
2026-06-12,13765.665030399963
2026-06-15,13765.665030399963
2026-06-16,13765.665030399963
2026-06-17,13765.665030399963
2026-06-18,13765.665030399963
2026-06-22,22243.796124399963
2026-06-23,30527.285628399964
2026-06-24,13824.143822399965
2026-06-25,13824.143822399965
2026-06-26,13824.143822399965
2026-06-29,21582.964862399967
2026-06-30,29829.756466399966
2026-07-01,12841.553295399965
2026-07-02,12841.553295399965
2026-07-06,44263.803481899966
2026-07-07,18715.48746039996
2026-07-08,70336.14853789996
2026-07-09,70336.14853789996
2026-07-10,36851.83657839997
2026-07-13,36851.83657839997
2026-07-14,69838.11040439997
2026-07-15,69838.11040439997
2026-07-16,19112.42130039996
2026-07-17,71068.45477289996
2026-07-20,71068.45477289996
2026-07-21,71068.45477289996
2026-07-22,71068.45477289996
2026-07-23,71068.45477289996
2026-07-24,71068.45477289996
2026-07-27,71068.45477289996
2026-07-28,71068.45477289996
2026-07-29,71068.45477289996
2026-07-30,71068.45477289996
2026-07-31,71068.45477289996
2026-08-03,71068.45477289996
2026-08-04,71068.45477289996
2026-08-05,20491.785356899964
2026-08-06,36313.288247699966
2026-08-07,36313.288247699966
