,above_sma50,above_sma200,ret20,dd60,overlap,strong_share,breadth,raw_label,label,method
2026-01-14,1.0,1.0,0.015979498374269818,-0.02433853580454659,0.4,0.28865979381443296,0.5257731958762887,Range,Range,hierarchy
2026-01-15,1.0,1.0,0.017619613221600217,-0.020826196839368483,0.5,0.26804123711340205,0.5360824742268041,CrowdedTrend,Range,hierarchy
2026-01-16,1.0,1.0,0.03597164391415619,-0.02164547950135831,0.5,0.26804123711340205,0.5360824742268041,CrowdedTrend,Range,hierarchy
2026-01-20,0.0,1.0,-0.0005206642753458057,-0.04243221185797208,0.6,0.27835051546391754,0.4845360824742268,Defense,Defense,hierarchy
2026-01-21,1.0,1.0,-4.554111793675375e-05,-0.029487861514394198,0.7,0.27835051546391754,0.4948453608247423,CrowdedTrend,Defense,hierarchy
2026-01-22,1.0,1.0,0.0025027358496674257,-0.022433190577144435,0.5,0.29896907216494845,0.4948453608247423,CrowdedTrend,Defense,hierarchy
2026-01-23,1.0,1.0,0.000979670231398888,-0.019347068025718173,0.5,0.31958762886597936,0.5360824742268041,CrowdedTrend,Defense,hierarchy
2026-01-26,1.0,1.0,0.0024516694969578534,-0.015031232191652255,0.6,0.35051546391752575,0.5567010309278351,CrowdedTrend,Defense,hierarchy
2026-01-27,1.0,1.0,0.01160360094024182,-0.0003016806789402082,0.6,0.3711340206185567,0.5051546391752577,CrowdedTrend,CrowdedTrend,hierarchy
2026-01-28,1.0,1.0,0.019890858600536188,0.0,0.7,0.35051546391752575,0.5051546391752577,CrowdedTrend,CrowdedTrend,hierarchy
2026-01-29,1.0,1.0,0.016143883820999738,-0.005985436124742893,0.7,0.36082474226804123,0.4948453608247423,CrowdedTrend,CrowdedTrend,hierarchy
2026-01-30,1.0,1.0,0.012306718273730644,-0.017923064745923756,0.6,0.36082474226804123,0.5154639175257731,CrowdedTrend,CrowdedTrend,hierarchy
2026-02-02,1.0,1.0,0.02123440077560823,-0.011180940319772237,0.8,0.38144329896907214,0.5051546391752577,CrowdedTrend,CrowdedTrend,hierarchy
2026-02-03,0.0,1.0,-0.002379535025555213,-0.026373278454962956,0.6,0.3711340206185567,0.5257731958762887,Defense,Defense,hierarchy
2026-02-04,0.0,1.0,-0.028344299303451725,-0.04338135190755099,0.4,0.3917525773195876,0.5051546391752577,Defense,Defense,hierarchy
2026-02-05,0.0,1.0,-0.043251483481708375,-0.057152129175241484,0.3,0.41237113402061853,0.4742268041237113,Defense,Defense,hierarchy
2026-02-06,0.0,1.0,-0.017438338171930967,-0.03722178249168917,0.5,0.4329896907216495,0.5360824742268041,Defense,Defense,hierarchy
2026-02-09,0.0,1.0,-0.019675403825666238,-0.02984644609783127,0.3,0.41237113402061853,0.5051546391752577,Defense,Defense,hierarchy
2026-02-10,0.0,1.0,-0.02503416364987654,-0.034348583188222426,0.3,0.4020618556701031,0.5257731958762887,Defense,Defense,hierarchy
2026-02-11,0.0,1.0,-0.020965622333877998,-0.03175716321038469,0.4,0.3917525773195876,0.5154639175257731,Defense,Defense,hierarchy
2026-02-12,0.0,1.0,-0.030522778422264363,-0.05145163843596656,0.5,0.4020618556701031,0.4948453608247423,Defense,Defense,hierarchy
2026-02-13,0.0,1.0,-0.03194161421791164,-0.049430109229064434,0.5,0.41237113402061853,0.4742268041237113,Defense,Defense,hierarchy
2026-02-17,0.0,1.0,-0.03212809934023808,-0.05040842171917059,0.4,0.36082474226804123,0.4948453608247423,Defense,Defense,hierarchy
2026-02-18,0.0,1.0,-0.003733920649652722,-0.04331803071078044,0.4,0.4020618556701031,0.5257731958762887,Defense,Defense,hierarchy
2026-02-19,0.0,1.0,-0.020785587531575223,-0.046981161943960736,0.3,0.36082474226804123,0.4845360824742268,Defense,Defense,hierarchy
2026-02-20,0.0,1.0,-0.019250084777237664,-0.03854836156403352,0.3,0.32989690721649484,0.5154639175257731,Defense,Defense,hierarchy
2026-02-23,0.0,1.0,-0.03421948569358935,-0.05023428842805133,0.4,0.3917525773195876,0.5051546391752577,Defense,Defense,hierarchy
2026-02-24,0.0,1.0,-0.028123642739346644,-0.04003324362830474,0.4,0.38144329896907214,0.5360824742268041,Defense,Defense,hierarchy
2026-02-25,1.0,1.0,-0.022894943735457307,-0.026119993667880315,0.3,0.36082474226804123,0.5051546391752577,Range,Defense,hierarchy
2026-02-26,0.0,1.0,-0.03786924172866868,-0.03786924172866868,0.2,0.3711340206185567,0.4639175257731959,Defense,Defense,hierarchy
2026-02-27,0.0,1.0,-0.03517332649593341,-0.040948234921640125,0.2,0.4020618556701031,0.4742268041237113,Defense,Defense,hierarchy
2026-03-02,0.0,1.0,-0.022159070760085053,-0.03968497704606633,0.5,0.3917525773195876,0.5154639175257731,Defense,Defense,hierarchy
2026-03-03,0.0,1.0,-0.03922438152078722,-0.049966756371695564,0.2,0.3711340206185567,0.44329896907216493,Defense,Defense,hierarchy
2026-03-04,0.0,1.0,-0.009358740894901074,-0.0354851986702549,0.2,0.3711340206185567,0.5773195876288659,Defense,Defense,hierarchy
2026-03-05,0.0,1.0,0.0052176416855314045,-0.0383900585721072,0.2,0.36082474226804123,0.5360824742268041,Defense,Defense,hierarchy
2026-03-06,0.0,1.0,0.004556772448484514,-0.05285578597435492,0.0,0.3711340206185567,0.5567010309278351,Defense,Defense,hierarchy
2026-03-09,0.0,1.0,-0.0031010199165716346,-0.040207376919423776,0.0,0.35051546391752575,0.44329896907216493,Defense,Defense,hierarchy
2026-03-10,0.0,1.0,-0.010663364042516332,-0.04019154662023117,0.0,0.31958762886597936,0.3917525773195876,Defense,Defense,hierarchy
2026-03-11,0.0,1.0,-0.006180307605548774,-0.040316605983853226,0.1,0.31958762886597936,0.38144329896907214,Defense,Defense,hierarchy
2026-03-12,0.0,1.0,-0.025851850519669317,-0.056788032293810464,0.0,0.24742268041237114,0.25773195876288657,Defense,Defense,hierarchy
2026-03-13,0.0,1.0,-0.01152039893324075,-0.06237929396865616,0.1,0.25773195876288657,0.36082474226804123,Defense,Defense,hierarchy
2026-03-16,0.0,1.0,-0.002557974936508667,-0.05186164318505637,0.2,0.29896907216494845,0.30927835051546393,Defense,Defense,hierarchy
2026-03-17,0.0,1.0,0.0033424632870833193,-0.04723444673104338,0.2,0.26804123711340205,0.3711340206185567,Defense,Defense,hierarchy
2026-03-18,0.0,1.0,-0.017976754653040716,-0.06051606775368068,0.2,0.25773195876288657,0.29896907216494845,Defense,Defense,hierarchy
2026-03-19,0.0,1.0,-0.017316642913381974,-0.06348424885230342,0.1,0.25773195876288657,0.31958762886597936,Defense,Defense,hierarchy
2026-03-20,0.0,0.0,-0.04393849335390365,-0.08079309798955203,0.1,0.29896907216494845,0.2268041237113402,Defense,Defense,hierarchy
2026-03-23,0.0,0.0,-0.021024489680265823,-0.07020262782966613,0.1,0.32989690721649484,0.32989690721649484,Defense,Defense,hierarchy
2026-03-24,0.0,0.0,-0.03804845228731002,-0.07655849295551698,0.1,0.36082474226804123,0.20618556701030927,Defense,Defense,hierarchy
2026-03-25,0.0,0.0,-0.04555754226267883,-0.07048757321513388,0.2,0.36082474226804123,0.21649484536082475,Defense,Defense,hierarchy
