scheme,scheme_id,note,run,n_names,mean_ret,median_ret,mean_sharpe,mean_mdd,mean_vs_qqq,pct_positive,pct_beat_qqq,mean_trades,mean_exposure,basket_eq_ret
S02_faster_ma,2,faster_ma,8,30,0.05026349797798871,0.00715463007817041,0.2936419692153776,-0.11926521928322761,-0.09378968208570057,0.5333333333333333,0.2,4.866666666666666,0.19572329523058732,0.05026349797798871
S02_faster_ma,2,faster_ma,9,30,-0.035667861480169205,-0.025572867851306358,-0.39950103248141955,-0.13945501157618928,-0.17972104154385846,0.36666666666666664,0.06666666666666667,4.5,0.19250645994832044,-0.035667861480169205
S02_faster_ma,2,faster_ma,10,30,-0.013298190837102175,-0.055689167326800126,-0.2543867553424973,-0.12357776150270244,-0.15735137090079146,0.3333333333333333,0.13333333333333333,4.3,0.17970262339596194,-0.013298190837102175
S02_faster_ma,2,faster_ma,11,30,0.08636876282235142,-0.006915702475174201,0.021910680306087626,-0.11645660242838164,-0.057684417241337875,0.43333333333333335,0.13333333333333333,4.2,0.19844961240310077,0.08636876282235142
S02_faster_ma,2,faster_ma,12,30,0.0013494359369231675,-0.004366002116033441,-0.16667226375541638,-0.1302051240315415,-0.14270374412676612,0.4666666666666667,0.06666666666666667,5.1,0.2276485788113695,0.0013494359369231675
S02_faster_ma,2,faster_ma,13,30,0.013002888553683272,-0.03620700591032511,-0.13434326812039257,-0.12251206611044914,-0.131050291510006,0.4,0.16666666666666666,4.4,0.17416020671834626,0.013002888553683272
S02_faster_ma,2,faster_ma,14,30,0.021583639075072412,0.0020130911680477093,0.10938471879902968,-0.1011273385630546,-0.12246954098861688,0.5,0.13333333333333333,3.8666666666666667,0.1900385407086235,0.021583639075072412
S02_faster_ma,2,faster_ma,15,30,0.0954281448415125,-0.002261053292557935,0.1280843688416196,-0.1308415384478521,-0.04862503522217673,0.43333333333333335,0.16666666666666666,4.733333333333333,0.21162790697674422,0.0954281448415125
S02_faster_ma,2,faster_ma,16,30,0.012879528207971417,-0.006733868888717798,-0.27117839310042763,-0.11798829046865097,-0.1311736518557179,0.43333333333333335,0.13333333333333333,4.566666666666666,0.19405684754521965,0.012879528207971417
S02_faster_ma,2,faster_ma,17,30,0.06277268252553952,-0.055689167326800126,-0.2781817024145383,-0.14071390440788142,-0.08128049753814974,0.4,0.16666666666666666,5.2,0.2201550387596899,0.06277268252553952
S02_faster_ma,2,faster_ma,18,30,0.10880782224726833,-0.002261053292557935,0.10592925420605075,-0.10558421922409102,-0.03524535781642094,0.4666666666666667,0.26666666666666666,4.3,0.2056847545219639,0.10880782224726833
S02_faster_ma,2,faster_ma,19,30,0.0017468334539876877,-0.03767637514010702,-0.42510848636484083,-0.11522249610177952,-0.14230634660970157,0.4,0.13333333333333333,4.133333333333334,0.16537467700258401,0.0017468334539876877
S02_faster_ma,2,faster_ma,20,30,0.04566518744372466,0.010795034054504327,-0.032315481544235185,-0.12375592191372221,-0.09838799261996461,0.5,0.23333333333333334,4.833333333333333,0.20697674418604653,0.04566518744372466
S02_faster_ma,2,faster_ma,21,30,0.03571797967419301,0.00715463007817041,-0.004890675151637924,-0.10431807959333214,-0.10833520038949626,0.5333333333333333,0.16666666666666666,4.233333333333333,0.15943152454780363,0.03571797967419301
S02_faster_ma,2,faster_ma,22,30,0.13545146991258203,0.0129733281271871,0.4205060139729084,-0.10813198865441068,-0.008601710151107242,0.5666666666666667,0.26666666666666666,4.0,0.18914728682170548,0.13545146991258203
S02_faster_ma,2,faster_ma,23,30,0.012783307087435736,-0.025572867851306358,-0.3600031075078862,-0.11131283544320433,-0.13126987297625353,0.4,0.2,4.366666666666666,0.17881136950904394,0.012783307087435736
S02_faster_ma,2,faster_ma,24,30,0.06954166211331657,-0.007346739308682182,0.07485683802247381,-0.11050605512918578,-0.07451151795037272,0.43333333333333335,0.1,3.533333333333333,0.17881136950904394,0.06954166211331657
S02_faster_ma,2,faster_ma,25,30,0.06807199365038166,0.019484179647396904,0.193253520447668,-0.1136314152816172,-0.0759811864133076,0.5333333333333333,0.26666666666666666,4.5,0.18501291989664087,0.06807199365038166
S02_faster_ma,2,faster_ma,26,30,0.03401879727113861,-0.00207457638488201,0.11324805459492898,-0.12387798335259624,-0.11003438279255065,0.5,0.23333333333333334,4.933333333333334,0.20864319187141417,0.03401879727113861
S02_faster_ma,2,faster_ma,27,30,0.03317134993930481,-0.003948989930095126,-0.16255866399652108,-0.12173354677812485,-0.11088183012438443,0.43333333333333335,0.2,4.666666666666667,0.19779047869311964,0.03317134993930481
S02_faster_ma,2,faster_ma,28,30,0.08428831026509814,-0.013254662989727772,-0.1053572486223245,-0.12078878899608875,-0.05976486979859115,0.4,0.23333333333333334,4.433333333333334,0.18708010335917316,0.08428831026509814
