datetime,QQQ_buy_hold,S12_full,L1+L4
2025-07-16,54902.32618805577,50623.756226144236,50539.071378195586
2025-07-17,55346.15100533483,51032.99351929806,50947.62408765731
2025-07-18,55293.38779350934,50984.3421750178,50899.05412871862
2025-07-21,55579.7627826118,51248.399795963225,51162.67002662437
2025-07-22,55292.17727345701,50983.22599149171,50897.939812375815
2025-07-23,55544.091782963646,51215.50865790206,51129.83390978709
2025-07-24,55662.34077412196,51324.54243694234,51238.68529404502
2025-07-25,55796.34555410986,51448.10414709664,51362.04030668383
2025-07-28,55970.619140226154,51608.79649208013,51522.463840978104
2025-07-29,55885.50711399994,51530.3172951727,51444.11592628585
2025-07-30,55960.4056113853,51599.37890943569,51513.06201233168
2025-07-31,55674.52268499176,51335.77500446834,51249.89907141509
2025-08-01,54572.40244926907,50319.54363470783,50235.36768216659
2025-08-04,55574.752601457825,51243.78006111777,51158.05801980174
2025-08-05,55198.57412935838,50896.917394427546,50811.77559476835
2025-08-06,55892.242610327936,51536.52789038504,51450.31613223927
2025-08-07,56083.21313705586,51712.615973763124,51626.109650502505
2025-08-08,56605.51902169263,52194.21825940699,52106.90629825278
2025-08-11,56438.066361253084,52039.81528142615,51952.76160993055
2025-08-12,57145.496355534255,52692.11484802163,52603.96999140403
2025-08-13,57175.1717617676,52719.47763272264,52631.287002866666
2025-08-14,57131.40551392146,52679.12211382703,52590.99899182183
2025-08-15,56880.13873856868,52447.43670327413,52359.70115116156
2025-08-18,56857.57747704482,52426.63365388008,52338.93290169556
2025-08-19,56085.29247497359,51714.53326767702,51628.02373711305
2025-08-20,55751.89265794509,51407.11549078208,51321.12021735022
2025-08-21,55493.479367967346,51168.840497612946,51083.243817313436
2025-08-22,56347.831262131076,51956.612255650005,51869.697768523816
2025-08-25,56185.26540370917,51806.71524838559,51720.051513203034
2025-08-26,56411.09182036922,52014.94288207938,51927.930817835266
2025-08-27,56498.12682078641,52095.19519468939,52008.04888211215
2025-08-28,56851.48062550669,52421.01193350057,52333.32058548854
2025-08-29,56191.631166431354,51812.5849235454,51725.911369404595
2025-09-02,55727.61735245969,51384.73197386154,51298.77414420839
2025-09-03,56165.52593234747,51788.51408541803,51701.880797654485
2025-09-04,56673.3826693241,52256.793253816955,52169.37661544633
2025-09-05,56759.114428182125,52335.84388723459,52248.29501073367
2025-09-08,57035.796455273856,52590.963924292235,52502.98827579418
2025-09-09,57197.26481460227,52739.84896120083,52651.624253611706
2025-09-10,57217.6425076632,52758.63860888233,52670.382469440345
2025-09-11,57550.31791857772,53065.38843304975,52976.61915384585
2025-09-12,57804.27280965029,53299.552472913194,53210.391477495614
2025-09-15,58297.93063449775,53754.739258598835,53664.816813881414
2025-09-16,58248.879333914985,53709.51055417615,53619.663769311774
2025-09-17,58132.60821789072,53602.30051331936,53512.633072436656
2025-09-18,58656.45296236867,54085.321734568955,53994.84628215714
2025-09-19,59052.8439523287,54450.821745939014,54359.73487479426
2025-09-22,59403.121332141585,54773.801807411124,54682.17464610549
2025-09-23,59008.66634802392,54410.08692783095,54319.06819903941
2025-09-24,58802.29972861608,54219.802578160015,54129.10216239816
2025-09-25,58549.649877278156,53986.84187553161,53896.531163006955
2025-09-26,58790.123996737864,54208.57570809322,54117.89407295643
2025-09-29,59062.582123948436,54459.8010162249,54368.69912430341
2025-09-30,59224.45840638536,54609.062186558775,54517.71060633962
2025-10-01,59511.77343764917,54873.98659163745,54782.19183839767
2025-10-02,59757.25708621441,55100.339557810585,55008.16615494161
2025-10-03,59506.11460217976,54868.768752481665,54776.98272779047
2025-10-06,59953.64702219181,55281.424712748,55188.948385521864
2025-10-07,59638.914020472635,54991.21903547341,54899.228172493444
2025-10-08,60321.7146202537,55620.80859049488,55527.764532341105
2025-10-09,60248.71504043422,55553.497910056074,55460.56645110794
2025-10-10,58159.70337801212,53627.284131976914,53537.57489779191
2025-10-13,59390.024388345184,54761.725516002545,54670.11855625794
2025-10-14,58997.417425079715,54399.714639943144,54308.71326220745
2025-10-15,59415.50576611969,54785.22111530275,54693.57485145663
2025-10-16,59197.90686399553,54584.57982118929,54493.269195761786
2025-10-17,59588.65901420285,54944.88043084254,54852.967084388
2025-10-20,60337.22550778669,55635.11070561169,55542.04272247616
2025-10-21,60321.44883717082,55620.56352004105,55527.51987184804
2025-10-22,59739.83061857523,55084.27114485068,54992.124621676354
2025-10-23,60242.57050345736,55547.83222039161,55454.91023916904
2025-10-24,60884.89568073175,56140.100625939194,56046.18788141481
2025-10-27,61965.023373305805,57136.05334412971,57040.47454179392
2025-10-28,62440.61332248211,57574.58029412156,57478.26791152918
2025-10-29,62721.70826123654,57833.7693420895,57737.023380743725
2025-10-30,61759.3455401009,56946.40410315542,56851.14255142157
2025-10-31,62063.70437039112,57227.04407416705,56979.857577185714
2025-11-03,62363.516149215495,57503.49134805749,57117.48417094673
2025-11-04,61092.04784253764,56331.10930023582,56535.228107106705
2025-11-05,61490.20646896886,56698.2391951468,56719.45821203066
2025-11-06,60342.41959193515,55639.90001178515,56190.09058142202
2025-11-07,60152.80083019299,55465.058349567444,56101.805296623344
2025-11-10,61477.32112511837,56686.35801357823,57325.90529757171
2025-11-11,61313.99920355335,56535.76386360773,57173.61211307203
2025-11-12,61267.610551284124,56492.990305779,57130.35597506537
2025-11-13,60011.59975975017,55334.86116002607,55959.16057535585
2025-11-14,60070.51569157282,55389.18573928361,56014.09805581812
2025-11-17,59556.38501046002,54915.12155883549,55534.685384663084
2025-11-18,58829.04321298369,54244.461927358214,54856.45923170116
2025-11-19,59179.89928558478,54567.97558375559,55183.622836472976
2025-11-20,57828.194066780314,54546.1483935221,55161.5493873384
2025-11-21,58261.85558229177,54546.1483935221,55161.5493873384
2025-11-24,59743.26320037706,54546.1483935221,55161.5493873384
2025-11-25,60112.95298538325,54546.1483935221,55161.5493873384
2025-11-26,60643.06836431163,54546.1483935221,55161.5493873384
2025-11-28,61133.79087694793,54546.1483935221,55161.5493873384
2025-12-01,60931.64132168216,54546.1483935221,55161.5493873384
2025-12-02,61407.56977572773,54546.1483935221,55161.5493873384
2025-12-03,61559.117987293146,54546.1483935221,55161.5493873384
2025-12-04,61502.29963473818,54546.1483935221,55161.5493873384
2025-12-05,61752.815578015165,54546.1483935221,55161.5493873384
2025-12-08,61635.14054183818,54420.3877911961,55129.75452243729
2025-12-09,61711.56855082104,54487.8694558827,55146.844843546416
2025-12-10,61965.03666419329,54711.66764797181,55254.58256091451
2025-12-11,61765.66979564529,54535.637834399255,55165.694264456346
2025-12-12,60580.11514472061,53488.859271329646,54636.25820699027
2025-12-15,60281.978129024035,53225.62093251052,54501.81565160931
2025-12-16,60402.736788759474,53332.244086675084,54556.40548438777
2025-12-17,59285.71732822643,52345.97827015997,53536.5901392927
2025-12-18,60145.82828208202,53105.40821938681,54313.29336033914
2025-12-19,60927.51975249439,53795.59814316956,55019.18168813245
2025-12-22,61221.30605166493,54054.99504221205,55284.478582494965
2025-12-23,61508.65663315402,54033.37304419518,55262.36479106198
2025-12-24,61688.641118992084,54033.37304419518,55262.36479106198
2025-12-26,61684.78017748534,54033.37304419518,55262.36479106198
2025-12-29,61386.649051863096,54033.37304419518,55262.36479106198
2025-12-30,61244.202286863714,53886.37609266279,55224.77968994256
2025-12-31,60738.16861776349,53441.1368766965,55110.70522718421
2026-01-02,60626.87400048593,53343.21309975486,55054.70263719574
2026-01-05,61109.74795341709,53768.07498808712,55273.94931887077
2026-01-06,61645.86487630208,54239.78328140289,55516.408996884194
2026-01-07,61705.25858043617,54292.04147661154,55543.153087320476
2026-01-08,61353.81513596344,53982.8201476202,55384.97955813546
2026-01-09,61964.129531828105,54519.81189283529,55924.84222692262
2026-01-12,62018.895720471875,54567.99851831532,55974.27067015929
2026-01-13,61926.94851585825,54487.09777239211,55891.285030724415
2026-01-14,61263.68350268286,53903.51685183958,55292.66464346605
2026-01-15,61489.5622188541,54102.258691825,55496.528260364066
2026-01-16,61440.62929245972,54059.204525446105,55452.36454485667
2026-01-20,60130.90037233294,52906.825320002084,54270.28736937558
2026-01-21,60942.214789139136,53620.669115185214,55002.52763643216
2026-01-22,61386.760506349034,54011.80748932472,55403.7460394898
2026-01-23,61581.07575512334,54182.77786994861,55579.12249861373
2026-01-26,61851.864283537376,54421.03409566203,55823.51882666408
2026-01-27,62411.364713212366,54913.31662121857,56328.48796755062
2026-01-28,62619.54521148329,55096.48649209776,56516.378310051805
2026-01-29,62244.46318697788,54766.466501904666,56177.85337310674
2026-01-30,61494.597082951965,54106.68867164713,55501.07240521746
2026-02-02,61920.61907039554,54481.52874110547,55885.57247990574
