datetime,DIA_buy_hold,S12_full,L1+L4
2025-11-04,56354.1908062755,52284.59768101954,53264.49632633036
2025-11-05,56618.73041200015,52530.03367536388,53514.53219155514
2025-11-06,56159.651771608245,52104.10719725415,53080.62315648958
2025-11-07,56229.464658541154,52168.87857723519,53146.60845778422
2025-11-10,56702.37276797567,52607.63583535772,53593.58874260914
2025-11-11,57370.764338370725,53227.75980220915,54225.33484412344
2025-11-12,57771.04107668506,53599.1307317604,54603.665870661476
2025-11-13,56809.05370499471,52706.612855388914,53694.4207534435
2025-11-14,56457.6048353853,52380.54371146056,53362.240541885585
2025-11-17,55800.77100875384,51771.142850985685,52741.41851525248
2025-11-18,55199.12480446741,51212.94426295936,52172.75837517295
2025-11-19,55254.15949394034,51264.00464651599,52224.7757136053
2025-11-20,54826.885982817694,50867.58650424154,51820.92804872149
2025-11-21,55429.97830067057,51427.126775378565,52390.95501724174
2025-11-24,55653.84988932565,51634.831575635195,52602.55254425583
2025-11-25,56459.860608564704,52382.636584971086,53364.37263925949
2025-11-26,56839.15728469805,52361.6835303371,53343.0268902038
2025-11-28,57177.979363658684,52361.6835303371,53343.0268902038
2025-12-01,56714.72727452821,52361.6835303371,53343.0268902038
2025-12-02,56946.94676469604,52361.6835303371,53343.0268902038
2025-12-03,57444.708801119916,52361.6835303371,53343.0268902038
2025-12-04,57404.017195601176,52361.6835303371,53343.0268902038
2025-12-05,57518.98529729913,52445.608231078346,53364.40128683582
2025-12-08,57293.99145710983,52240.45963994823,53312.21564103179
2025-12-09,57086.662458739826,52051.41778937919,53210.42431965063
2025-12-10,57677.77861620003,52590.3954200342,53485.913726509825
2025-12-11,58457.838919141555,53301.65165713977,53847.59754188554
2025-12-12,58162.541272418144,53032.40030279881,53711.59295182686
2025-12-15,58136.2848985223,53008.459833546905,53699.46941289414
2025-12-16,57753.59522798229,52659.524739656015,53335.24576452562
2025-12-17,57492.99921682104,52421.91421441286,53094.58624808038
2025-12-18,57579.06552733815,52500.38917324506,53174.06818864798
2025-12-19,57781.14587127852,52684.645319189185,53360.68868847476
2025-12-22,58058.26231139684,52937.31911337587,53616.60476401526
2025-12-23,58151.38559252105,53022.22859315528,53702.60379257016
2025-12-24,58485.26794217882,53326.661343749125,54010.942989552415
2025-12-26,58487.68029101393,53328.860914921475,54013.17078537156
2025-12-29,58194.2858844292,53061.34492823637,53742.22206400864
2025-12-30,58074.204446432675,52951.85509595859,53631.327270671194
2025-12-31,57711.58233099472,52621.21752813841,53296.44699923201
2026-01-02,58078.48784296966,52955.7606818363,53635.282972582136
2026-01-05,58814.79523231015,53627.12316640384,54315.26030410042
2026-01-06,59396.58635540198,54157.59826356148,54852.54239729707
2026-01-07,58839.61058543516,53649.74971799169,54338.17719702165
2026-01-08,59150.741806603466,53933.43806975086,54625.50580540565
2026-01-09,59449.60355945932,54205.93916351175,54901.503602170684
2026-01-12,59557.643418790874,54304.449526769306,55001.278039191726
2026-01-13,59081.73374754289,53870.516764523156,54561.77710115442
2026-01-14,59038.78788058525,53831.35887427244,54522.1167413151
2026-01-15,59386.66773461646,54148.554500059356,54843.382585251544
2026-01-16,59280.871406885715,54052.08978101442,54745.68004191672
2026-01-20,58252.544719390884,53114.46512878592,53796.02389692258
2026-01-21,58962.75752541982,53762.034664186576,54451.902970859686
2026-01-22,59309.80803666558,54078.47409814239,54772.40291959756
2026-01-23,58977.82830107964,53775.77614435887,54465.82078014074
2026-01-26,59353.334663638045,54118.16152332938,54812.59960930516
2026-01-27,58872.278694010885,53679.536384344676,54368.34608248532
2026-01-28,58880.69649461424,53687.21170529009,54361.359318163704
2026-01-29,58890.30813734361,53695.975567281675,54359.3609556652
2026-01-30,58748.53276014261,53566.70527763616,54228.49359993799
2026-02-02,59349.39311791791,54114.56763582262,54783.12450789797
2026-02-03,59142.589095552445,53926.0044565257,54592.231730216634
2026-02-04,59435.38536274813,54192.97506182231,54862.500616190904
2026-02-05,58731.848024389976,53551.492194335086,54213.09256703607
2026-02-06,60180.48827240485,54872.357270839275,55550.27623320219
2026-02-09,60203.55836082384,54850.40832793094,55528.056122708906
2026-02-10,60285.34883934041,54850.40832793094,55528.056122708906
2026-02-11,60218.46990071923,54850.40832793094,55528.056122708906
2026-02-12,59422.12513750351,54103.112048707,55338.92394029675
2026-02-13,59495.38177655442,54081.47080388752,55333.39004790272
2026-02-17,59563.841552107224,54081.47080388752,55333.39004790272
2026-02-18,59701.942924750416,54081.47080388752,55333.39004790272
2026-02-19,59386.80306505646,53774.36631488325,55254.83665326061
2026-02-20,59666.05043237855,54027.22300101257,55319.79118385862
2026-02-23,58692.94168365301,53146.07931895814,54863.14695255847
2026-02-24,59147.24572094374,53557.44868822425,55075.47699126536
2026-02-25,59511.128183905515,53886.9419063965,55244.893165865695
2026-02-26,59517.057863665126,53892.31119309096,55247.64546224139
2026-02-27,58891.70129162833,53326.054859250464,54957.39692325518
2026-03-02,58840.359158654464,53304.72443730676,54946.40544387053
2026-03-03,58412.23018029057,53304.72443730676,54946.40544387053
2026-03-04,58679.013768814606,53304.72443730676,54946.40544387053
2026-03-05,57724.70087947412,53304.72443730676,54946.40544387053
2026-03-06,57172.466620891595,53304.72443730676,54946.40544387053
2026-03-09,57499.0561633825,53304.72443730676,54946.40544387053
2026-03-10,57477.39370038387,53304.72443730676,54946.40544387053
2026-03-11,57129.47204171758,53304.72443730676,54946.40544387053
2026-03-12,56244.252926728645,53304.72443730676,54946.40544387053
2026-03-13,56117.740649843676,53304.72443730676,54946.40544387053
2026-03-16,56585.56065111147,53304.72443730676,54946.40544387053
2026-03-17,56659.69514203977,53304.72443730676,54946.40544387053
2026-03-18,55705.99539226766,53304.72443730676,54946.40544387053
2026-03-19,55473.446171271426,53304.72443730676,54946.40544387053
2026-03-20,54968.92246184052,53304.72443730676,54946.40544387053
2026-03-23,55704.574948751586,53304.72443730676,54946.40544387053
2026-03-24,55610.686337187,53304.72443730676,54946.40544387053
2026-03-25,55970.70070988459,53304.72443730676,54946.40544387053
2026-03-26,55386.732060670554,53304.72443730676,54946.40544387053
2026-03-27,54428.620776239375,53304.72443730676,54946.40544387053
2026-03-30,54513.349099790306,53304.72443730676,54946.40544387053
2026-03-31,55847.503635068504,53304.72443730676,54946.40544387053
2026-04-01,56123.996587058886,53304.72443730676,54946.40544387053
2026-04-02,56080.178687423795,53304.72443730676,54946.40544387053
2026-04-06,56286.99465840977,53304.72443730676,54946.40544387053
2026-04-07,56179.7037495012,53304.72443730676,54946.40544387053
2026-04-08,57780.2020855884,53304.72443730676,54946.40544387053
2026-04-09,58112.46781342663,53304.72443730676,54946.40544387053
2026-04-10,57793.1244330449,53304.72443730676,54946.40544387053
2026-04-13,58145.23488607187,53304.72443730676,54946.40544387053
2026-04-14,58550.235384121894,53304.72443730676,54946.40544387053
2026-04-15,58457.829553814576,53304.72443730676,54946.40544387053
2026-04-16,58567.63483790618,53304.72443730676,54946.40544387053
2026-04-17,59624.31144431627,53304.72443730676,54946.40544387053
2026-04-20,59637.74538710522,53304.72443730676,54946.40544387053
2026-04-21,59283.58953659047,53304.72443730676,54946.40544387053
2026-04-22,59694.345706083965,53304.72443730676,54946.40544387053
2026-04-23,59482.238774217374,53304.72443730676,54946.40544387053
2026-04-24,59386.93165228164,53304.72443730676,54946.40544387053
2026-04-27,59341.11986478253,53304.72443730676,54946.40544387053
2026-04-28,59292.465346258585,53304.72443730676,54946.40544387053
2026-04-29,58960.39878665499,53304.72443730676,54946.40544387053
2026-04-30,59920.0044665062,54150.959711078714,55164.47985915179
2026-05-01,59725.371066614076,53975.06544188052,55119.68325756664
2026-05-04,59065.14621342423,53378.40645055284,54809.51529349991
2026-05-05,59474.74191103978,53357.05508797263,54798.55339044121
2026-05-06,60207.469716753345,53357.05508797263,54798.55339044121
2026-05-07,59830.2690795036,53001.42957185251,54707.245109839976
2026-05-08,59858.275714752504,53026.23961747868,54713.64724492493
2026-05-11,59976.612695085096,53131.06998554053,54762.25902677152
2026-05-12,60070.924282481974,53214.61714376211,54805.31510601786
2026-05-13,59980.84706104316,53134.82105423136,54764.22442393003
2026-05-14,60423.03000772683,53526.53462442083,54966.08724610703
2026-05-15,59799.32803292536,52974.02003941474,54682.40023837072
2026-05-18,59997.21379369228,53149.3197392811,54852.416767791205
2026-05-19,59630.99037625838,52824.89591559925,54517.59722779914
2026-05-20,60384.656648180455,53492.54107993704,55206.636165398006
2026-05-21,60732.6259905959,53800.794291546175,55524.766928240075
2026-05-22,61096.80521885934,54123.407243406495,55857.71756950766
2026-05-26,60992.58421977107,54031.081702704956,55762.43358352787
2026-05-27,61189.19846174072,54205.25501094679,55942.188036461084
2026-05-28,61210.34644285677,54223.98922773964,55961.52256552712
2026-05-29,61660.04696789833,54622.36234344037,56372.66100114007
2026-06-01,61740.07093563192,54693.25262615422,56445.82286569979
2026-06-02,62057.924623946405,54974.82749009085,56736.420409821716
2026-06-03,61356.96244092505,54353.870935030565,56095.566153926426
2026-06-04,62371.987730494024,55253.04441739034,57023.552416834165
2026-06-05,61528.89193082925,54506.176931488204,56252.75258707193
2026-06-08,61434.000233958875,54422.11587567136,56165.997910055856
2026-06-09,61495.61135004441,54476.69489195007,56222.325836027085
2026-06-10,60386.516353051,53494.188523918754,55208.336399461776
2026-06-11,61481.85129481709,54464.50536632608,55697.99938934044
2026-06-12,61928.31781209429,54442.719564179555,55686.85978946257
2026-06-15,62578.84065964762,54442.719564179555,55686.85978946257
2026-06-16,62940.467914848065,54735.55315041095,55761.74116473483
2026-06-17,62319.83506006179,54713.658929150784,55756.16499061836
2026-06-18,62397.88965343107,54713.658929150784,55756.16499061836
2026-06-22,62586.63748621997,54857.277212647925,55792.753681939044
2026-06-23,62532.051022058746,54809.43209878941,55780.58842881298
2026-06-24,62762.265064518295,55011.21503605344,55877.6895124505
2026-06-25,62853.034365202046,55090.7744578406,55918.09578838442
2026-06-26,62670.654218585245,54930.9179986524,55836.96724294966
2026-06-29,63145.64880225625,55347.251430156604,56048.56753131199
2026-06-30,63231.587931162234,55422.57719947673,56086.707649922166
2026-07-01,63233.016062822666,55423.82895891834,56087.341029578965
2026-07-02,63894.633418667,56003.73751697506,56380.76652609064
2026-07-06,64161.86586169354,56237.96713524698,56498.66977689851
2026-07-07,63965.5952144418,56065.93563239837,56314.54105274702
2026-07-08,63277.39055070465,55462.723260971994,55708.65394017048
2026-07-09,63449.16346742461,55613.28246799454,55859.88075105135
2026-07-10,63641.57275525046,55781.92948378725,56029.275574969965
2026-07-13,63483.01859850004,55642.95653877178,55889.68640145454
2026-07-14,63510.016301912685,55666.62006440116,55913.454854981224
2026-07-15,63662.52402545268,55800.29330206544,56047.72082138647
2026-07-16,63527.34623536934,55681.809775845846,55928.71192006151
2026-07-17,63060.02344779285,55272.20068458391,55517.28655588515
2026-07-20,62713.69215159608,54968.64080845115,55212.380646198224
2026-07-21,63145.218745814025,55346.874485070315,55592.29147207219
2026-07-22,63140.37521322491,55342.629121833044,55588.02728420816
2026-07-23,62511.33558434702,54791.27498802623,55034.22835705848
2026-07-24,62813.694677576415,55056.29316540798,55300.42166787275
2026-07-27,63121.120876544315,55325.75266821199,55571.07599766406
2026-07-28,63802.08282964469,55922.61679341313,56170.58671486555
2026-07-29,62404.70480880489,54697.812960854666,54940.35190415246
2026-07-30,63141.1466361258,55343.30527510828,55588.7064356563
2026-07-31,63481.220949825525,55641.380897139155,55888.10377317226
2026-08-03,64314.6262838349,56371.86186359654,56621.82381030018
2026-08-04,65425.876702508765,57345.8744438903,57099.66520028874
2026-08-05,65714.31971176012,57598.69515377484,57225.53282398529
2026-08-06,65156.24470017382,57109.54160845484,56982.54058094101
