,SPY,QQQ,SMH
2023-01-18,16777.527251108317,15000.0,13080.267837735984
2023-01-19,16657.624297006754,15000.0,12761.69116995034
2023-01-20,16962.223051889567,15000.0,13174.91793844399
2023-01-23,17162.065337045817,15000.0,13793.606140348289
2023-01-24,17143.975493295817,15000.0,13696.070137235494
2023-01-25,17150.287871225504,15000.0,13709.92032644448
2023-01-26,17335.403960092695,15000.0,13954.624855253074
2023-01-27,17374.53237806144,15000.0,13863.438194486473
2023-01-30,17160.384184702067,15000.0,13532.740379545068
2023-01-31,17408.187651498945,15000.0,13737.62427541909
2023-02-01,17589.937407358317,15000.0,14382.858673307273
2023-02-02,17841.532866342695,15000.0,14689.315086576318
2023-02-03,17655.154570444254,15000.0,14420.37183401284
2023-02-06,17549.129179819254,15000.0,14181.438217374656
2023-02-07,17774.634550913004,15000.0,14605.631057950828
2023-02-08,17583.629057748945,15000.0,14320.527466031883
2023-02-09,17433.85208020988,15000.0,14377.085975858543
2023-02-10,17473.822417123945,15000.0,14136.421531888818
2023-02-13,17675.345854623945,15000.0,14348.229629728172
2023-02-14,17667.350981577067,15000.0,14655.842010709615
2023-02-15,17723.727324350504,15000.0,14655.265365812156
2023-02-16,17483.91604505363,15000.0,14258.773796293111
2023-02-17,17441.00503431144,15000.0,14064.857757779931
2023-02-21,17097.279204233317,15000.0,13444.943152571355
2023-02-22,17074.13784681144,15000.0,13349.46345960251
2023-02-23,17163.330229623945,15000.0,13349.46345960251
2023-02-24,16983.25894056144,15000.0,14145.916743706477
2023-02-27,17040.058256967695,15000.0,14223.977820181619
2023-02-28,16978.21145520988,15000.0,14501.897468228493
2023-03-01,16914.261870248945,15000.0,15022.321363916359
2023-03-02,17043.420561655195,15000.0,14487.622487535438
2023-03-03,17311.843657358317,15000.0,14537.112275634345
2023-03-06,17323.625151498945,15000.0,14419.452546630439
2023-03-07,17062.775297983317,15000.0,14393.795659114416
2023-03-08,17090.124907358317,15000.0,14955.203402568395
2023-03-09,16780.47329603019,15000.0,14797.630636659582
2023-03-10,16542.763457163004,15000.0,14127.310080018955
2023-03-13,16519.624785288004,15000.0,13674.001285123022
2023-03-14,16787.626250131754,15000.0,13674.001285123022
2023-03-15,16684.548247202067,15000.0,13674.001285123022
2023-03-16,16971.901762827067,15000.0,13674.001285123022
2023-03-17,16777.039824350504,14928.127385799999,13583.207323086697
2023-03-20,16935.410551889567,14979.9203858,13718.698900235138
2023-03-21,17153.75491224113,15190.081385799998,13761.712785733183
2023-03-22,16866.57327161613,14987.1233858,13674.072534573515
2023-03-23,16985.29827015878,15161.7103858,14034.312578213652
2023-03-24,16985.29827015878,15216.5413858,13814.404878628691
2023-03-27,16985.29827015878,15114.0823858,13654.716119778594
2023-03-28,16985.29827015878,15035.1923858,13595.126802809138
2023-03-29,16985.29827015878,15304.5453858,13803.985028198374
2023-03-30,16962.080141027,15446.890385799998,14000.565594604624
2023-03-31,17196.920137364887,15699.387385799999,14097.52268688978
2023-04-03,17261.3099078727,15661.8533858,14017.613629272593
2023-04-04,17167.208040196918,15609.913385799999,13803.454388549937
2023-04-05,17123.04538150551,15458.405385799999,13563.187512329236
2023-04-06,17188.668672521137,15560.8643858,13522.699047973767
2023-04-10,17206.00226016762,15552.191385799999,13726.205120971812
2023-04-11,17210.5413531852,15454.0933858,13653.75303356947
2023-04-12,17141.612489659812,15319.9313858,13465.965551025552
2023-04-13,17365.315370519183,15614.715385799998,13685.037551025553
2023-04-14,17323.628938634418,15585.8543858,13701.123551025552
2023-04-17,17384.713136632465,15598.839385799998,13147.647551025553
2023-04-18,17395.856813390277,15599.8193858,13235.070551025552
2023-04-19,17392.968538243793,15592.6163858,12416.12907928074
2023-04-20,17299.692079503562,15475.751385799998,12297.461759940352
2023-04-21,17312.899934728168,15491.627385799999,12171.956419364178
2023-04-24,17330.642946202777,15459.8753858,12139.669516360731
2023-04-25,17060.310365636375,15173.225385799999,12139.669516360731
2023-04-26,16989.319948155902,15263.630385800001,12139.669516360731
2023-04-27,17321.56607242348,15671.506385799998,12139.669516360731
2023-04-28,17466.844606359027,15777.7873858,12139.669516360731
2023-05-01,17449.512330968402,15759.9513858,12139.669516360731
2023-05-02,17256.766878087543,15624.8093858,12139.669516360731
2023-05-03,17140.376344640277,15524.3103858,12139.669516360731
2023-05-04,17021.101472814105,15470.4593858,12139.669516360731
2023-05-05,17330.6455707145,15622.786529199999,12139.669516360731
2023-05-08,17335.187288243793,15428.7865292,12179.564056360732
2023-05-09,17260.481874425433,15411.9865292,11876.564056360732
2023-05-10,17339.726381261375,15327.186529199998,12048.78136636073
2023-05-11,17310.009035069965,15247.186529199998,12048.78136636073
2023-05-12,17287.72168155434,15202.3865292,12048.78136636073
2023-05-15,17346.32965274575,15182.786529199999,12048.78136636073
2023-05-16,17232.41665836098,15015.186529199998,12048.78136636073
2023-05-17,17437.953981359027,15415.937711999999,12632.579742721626
2023-05-18,17603.047578771137,15680.972598899998,13086.333961956505
2023-05-19,17577.869325597312,15645.910598899998,13014.789894573692
2023-05-22,17584.88726993325,15698.033598899998,13004.154884808067
2023-05-23,17390.904359777,15500.586598899998,12818.525215618614
2023-05-24,17267.08252139809,15421.673598899999,12631.928795330527
